,Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,WC,LC,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes,Year
5,6,Providence,Big East Conference,1,0,1.0,,,,,,78.0,59.0,,0.0,-19.0,,,,,,,2023
6,7,Seton Hall,Big East Conference,1,0,1.0,,,,,,70.0,59.0,,0.0,-11.0,,,,,,,2023
7,8,St. John's (NY),Big East Conference,1,0,1.0,,,,,,90.0,74.0,,0.0,-16.0,,,,,,,2023
8,9,Villanova,Big East Conference,1,0,1.0,,,,,,90.0,63.0,,0.0,-27.0,,22.0,22.0,,,,2023
9,10,Xavier,Big East Conference,1,0,1.0,,,,,,77.0,63.0,,0.0,-14.0,,,,,,,2023
10,11,DePaul,Big East Conference,0,0,,,,,,,74.0,82.0,,0.0,8.0,,,,,,,2023
0,1,Idaho State,Big Sky Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Montana,Big Sky Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Montana State,Big Sky Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Northern Colorado,Big Sky Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Portland State,Big Sky Conference,1,0,1.0,,,,,,62.0,55.0,,0.0,-7.0,,,,,,,2023
5,6,Weber State,Big Sky Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Eastern Washington,Big Sky Conference,0,1,0.0,,,,,,66.0,101.0,,0.0,35.0,,,,,,,2023
7,8,Idaho,Big Sky Conference,0,1,0.0,,,,,,59.0,84.0,,0.0,25.0,,,,,,,2023
8,9,Northern Arizona,Big Sky Conference,0,1,0.0,,,,,,52.0,95.0,,0.0,43.0,,,,,,,2023
9,10,Sacramento State,Big Sky Conference,0,1,0.0,,,,,,63.0,77.0,,0.0,14.0,,,,,,,2023
0,1,Charleston Southern,Big South Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Gardner-Webb,Big South Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,High Point,Big South Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,Presbyterian,Big South Conference,1,0,1.0,,,,,,68.0,62.0,,0.0,-6.0,,,,,,,2023
4,5,Longwood,Big South Conference,0,1,0.0,,,,,,69.0,73.0,,0.0,4.0,,,,,,,2023
5,6,Radford,Big South Conference,0,1,0.0,,,,,,70.0,86.0,,0.0,16.0,,,,,,,2023
6,7,South Carolina Upstate,Big South Conference,0,1,0.0,,,,,,53.0,82.0,,0.0,29.0,,,,,,,2023
7,8,UNC Asheville,Big South Conference,0,1,0.0,,,,,,74.0,99.0,,0.0,25.0,,,,,,,2023
8,9,Winthrop,Big South Conference,0,1,0.0,,,,,,56.0,78.0,,0.0,22.0,,,,,,,2023
0,1,Illinois,Big Ten Conference,1,0,1.0,,,,,,80.0,52.0,,0.0,-28.0,,25.0,25.0,,,,2023
1,2,Indiana,Big Ten Conference,1,0,1.0,,,,,,69.0,63.0,,0.0,-6.0,,,,,,,2023
2,3,Iowa,Big Ten Conference,1,0,1.0,,,,,,110.0,68.0,,0.0,-42.0,,,,,,,2023
3,4,Maryland,Big Ten Conference,1,0,1.0,,,,,,68.0,53.0,,0.0,-15.0,,,,,,,2023
4,5,Michigan,Big Ten Conference,1,0,1.0,,,,,,99.0,74.0,,0.0,-25.0,,,,,,,2023
5,6,Minnesota,Big Ten Conference,1,0,1.0,,,,,,80.0,60.0,,0.0,-20.0,,,,,,,2023
6,7,Nebraska,Big Ten Conference,1,0,1.0,,,,,,84.0,52.0,,0.0,-32.0,,,,,,,2023
7,8,Northwestern,Big Ten Conference,1,0,1.0,,,,,,72.0,61.0,,0.0,-11.0,,,,,,,2023
8,9,Ohio State,Big Ten Conference,1,0,1.0,,,,,,79.0,73.0,,0.0,-6.0,,,,,,,2023
9,10,Penn State,Big Ten Conference,1,0,1.0,,,,,,79.0,45.0,,0.0,-34.0,,,,,,,2023
10,11,Purdue,Big Ten Conference,1,0,1.0,,,,,,98.0,45.0,,0.0,-53.0,,3.0,3.0,,,,2023
11,12,Wisconsin,Big Ten Conference,1,0,1.0,,,,,,105.0,76.0,,0.0,-29.0,,,,,,,2023
12,13,Michigan State,Big Ten Conference,0,1,0.0,,,,,,76.0,79.0,,0.0,3.0,,4.0,4.0,,,,2023
13,14,Rutgers,Big Ten Conference,0,1,0.0,,,,,,61.0,68.0,,0.0,7.0,,,,,,,2023
0,1,Cal Poly,Big West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Cal State Bakersfield,Big West Conference,1,0,1.0,,,,,,73.0,72.0,,0.0,-1.0,,,,,,,2023
2,3,UC Davis,Big West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
3,4,UC Riverside,Big West Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,UC San Diego,Big West Conference,1,0,1.0,,,,,,95.0,87.0,,0.0,-8.0,,,,,,,2023
5,6,Cal State Fullerton,Big West Conference,0,1,0.0,,,,,,57.0,83.0,,0.0,26.0,,,,,,,2023
6,7,Cal State Northridge,Big West Conference,0,1,0.0,,,,,,79.0,88.0,,0.0,9.0,,,,,,,2023
7,8,Long Beach State,Big West Conference,0,1,0.0,,,,,,73.0,78.0,,0.0,5.0,,,,,,,2023
8,9,UC Irvine,Big West Conference,0,1,0.0,,,,,,64.0,72.0,,0.0,8.0,,,,,,,2023
9,10,Hawaii,Big West Conference,0,0,,,,,,,,,,,,,,,,,,2023
10,11,UC Santa Barbara,Big West Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Campbell,Coastal Athletic Association,1,0,1.0,,,,,,59.0,48.0,,0.0,-11.0,,,,,,,2023
1,2,College of Charleston,Coastal Athletic Association,1,0,1.0,,,,,,71.0,69.0,,0.0,-2.0,,,,,,,2023
2,3,Delaware,Coastal Athletic Association,1,0,1.0,,,,,,78.0,57.0,,0.0,-21.0,,,,,,,2023
3,4,Hofstra,Coastal Athletic Association,1,0,1.0,,,,,,,,,,,,,,,,,2023
4,5,Northeastern,Coastal Athletic Association,1,0,1.0,,,,,,67.0,58.0,,0.0,-9.0,,,,,,,2023
5,6,UNC Wilmington,Coastal Athletic Association,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,William & Mary,Coastal Athletic Association,1,0,1.0,,,,,,,,,,,,,,,,,2023
7,8,Drexel,Coastal Athletic Association,0,1,0.0,,,,,,61.0,67.0,,0.0,6.0,,,,,,,2023
8,9,Elon,Coastal Athletic Association,0,1,0.0,,,,,,78.0,101.0,,0.0,23.0,,,,,,,2023
9,10,Hampton,Coastal Athletic Association,0,1,0.0,,,,,,80.0,92.0,,0.0,12.0,,,,,,,2023
10,11,Monmouth,Coastal Athletic Association,0,1,0.0,,,,,,61.0,72.0,,0.0,11.0,,,,,,,2023
11,12,North Carolina A&T,Coastal Athletic Association,0,1,0.0,,,,,,52.0,100.0,,0.0,48.0,,,,,,,2023
12,13,Stony Brook,Coastal Athletic Association,0,1,0.0,,,,,,74.0,90.0,,0.0,16.0,,,,,,,2023
13,14,Towson,Coastal Athletic Association,0,1,0.0,,,,,,57.0,75.0,,0.0,18.0,,,,,,,2023
0,1,Jacksonville State,Conference USA,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Liberty,Conference USA,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Middle Tennessee,Conference USA,1,0,1.0,,,,,,74.0,57.0,,0.0,-17.0,,,,,,,2023
3,4,Sam Houston,Conference USA,1,0,1.0,,,,,,64.0,57.0,,0.0,-7.0,,,,,,,2023
4,5,UTEP,Conference USA,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Western Kentucky,Conference USA,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Florida International,Conference USA,0,1,0.0,,,,,,62.0,85.0,,0.0,23.0,,,,,,,2023
7,8,Louisiana Tech,Conference USA,0,1,0.0,,,,,,73.0,81.0,,0.0,8.0,,,,,,,2023
