Team,2022tan,2021tan,2021veg,2022veg,2020tan,2020veg,teamz2022,2022veg,Over/Under,teams2019,2019veg,2018veg
Penn State,8.54,9.27,9,8.5,9.6,9.5,Ole Miss,7.5,-145/125,Louisiana,6,
Pittsburgh,9.63,7.57,7,8.5,7.07,6.5,Oregon,8.5,-135/115,Duke,5.5,
Purdue,6.58,6.03,5,7.5,6.09,5.5,Oregon State,6.5,115/-135,South Carolina,5.5,
Rice,2.25,6.84,5.5,3.5,6.09,4.5,Penn State,8.5,105/-125,Tulane,5.5,
Rutgers,4.13,2.91,4,4.5,3.47,nan,Pittsburgh,8.5,-120/100,Kansas State,5.5,
San Diego State,6.5,5.97,6.5,7.5,5.19,7.5,Purdue,7.5,110/-140,Middle Tennessee,5.5,
San Jose State,8.49,8.91,7.5,6.5,4.65,4.5,Rice,3.5,110/-130,Hawaii,5.5,
SMU,8.37,6.96,6,7,7.15,7.5,Rutgers,4.5,-110/-110,Wyoming,5.5,
South Alabama,5.83,5.77,4,5.5,4.08,3.5,San Diego State,7.5,-120/100,UCLA,5.5,
South Carolina,4.94,2.13,4,6,6.24,5.5,San Jose State,6.5,110/-130,Liberty,5.5,
South Florida,2.91,2.76,3,4.5,5.3,4.5,SMU,7,-105/-115,Navy,5,
Southern Miss,5.86,6.08,5.5,5,8.57,7.5,South Alabama,5.5,-125/105,Arkansas,5,
Stanford,3.04,1.12,nan,4.5,6.48,6,South Carolina,6,-140/120,West Virginia,5,
Syracuse,4.84,3.5,3,5,4.04,6,South Florida,4.5,110/-130,Western Kentucky,5,
TCU,8.75,8.17,7,6.5,7.83,5,Southern Mississippi,5,-140/120,New Mexico,5,
Temple,2.53,2.87,2.5,2.5,5.5,6,Stanford,4.5,120/-140,Vanderbilt,5,
Tennessee,7.54,6.07,6,7.5,7.39,7,Syracuse,5,120/-140,Mississippi,5,
Texas,8.34,7.71,8,8.5,8.92,9.5,TCU,6.5,-140/120,UL Monroe,5,
Texas A&M,8.54,9.1,9.5,8.5,10.17,9.5,Temple,2.5,-140/120,Tulsa,4.5,
Texas State,6.22,4.51,4.5,4.5,2.38,3,Tennessee,7.5,-160/135,North Carolina,4.5,
Texas Tech,4.68,5.68,4.5,5.5,5.77,5.5,Texas,8.5,100/-120,Charlotte,4.5,
Toledo,9.9,9.51,8,8,6.65,6.5,Texas A&M,8.5,-150/130,Old Dominion,4.5,
Troy,7.49,7.84,6.5,6.5,5.98,6.5,Texas State,4.5,-135/115,Colorado,4.5,
Tulane,7.81,5.83,5,6,4.56,5.5,Texas Tech,5.5,-110/-110,Texas State,4.5,
Tulsa,3.81,7.14,6.5,6,5.95,5,Toledo,8,-110/-110,Coastal Carolina,4.5,
UAB,8.34,7.98,7.5,8.5,9.5,8,Troy,6.5,-110/-110,East Carolina,4.5,
UCF,8.41,9.75,9.5,8.5,10.48,9.5,Tulane,6,110/-130,Maryland,4,
UCLA,8.06,8.22,7,8.5,6.81,6,Tulsa,6,110/-130,Georgia Tech,4,
UConn,2.29,nan,nan,2.5,2.36,2.5,UAB,8.5,115/-135,Central Michigan,4,
ULM,#N/A,1.29,1.5,2.5,3.14,4,UCF,8.5,-140/120,Kent State,4,
UMass,2.91,1.15,1.5,nan,0.03,1.5,UCLA,8.5,-105/-115,Ball State,4,
UNLV,4.5,0.38,1.5,4.5,2.48,3,UConn,2.5,115/-135,UNLV,4,
USC,8.37,6.67,9,9.5,10.47,9,ULM,2.5,-125/105,Illinois,4,
Utah,10.93,9.39,8.5,9,8.56,8,UNLV,4.5,120/-140,Georgia State,3.5,
Utah State,5.94,4.96,3,7,4.77,5.5,USC,9.5,-110/-110,Louisville,3.5,
UTEP,6.18,3.91,3,5.5,0.48,1.5,Utah,9,-125/105,New Mexico State,3.5,
UTSA,5.91,7.75,8,8.5,3.31,3.5,Utah State,7,100/-120,Akron,3.5,
Vanderbilt,1.71,3.99,3,2.5,2.06,3,UTEP,5.5,-125/105,Colorado State,3.5,
Virginia,7.01,5.52,6,7,6.48,6,UTSA,8.5,130/-150,Kansas,3,
Virginia Tech,8.67,7.94,7,6.5,9.94,8.5,Vanderbilt,2.5,120/-140,UTEP,3,
Wake Forest,8.18,7.07,6.5,8.5,3.75,5,Virginia,7,100/-120,Bowling Green,3,
Washington,8.38,8.55,9,7.5,7.39,8,Virginia Tech,6.5,125/-145,Rutgers,3,
Washington State,4.44,6.89,6,5.5,8.95,7.5,Wake Forest,8.5,115/-135,UMass,2.5,
West Virginia,3.73,6.67,6.5,5.5,4.61,6,Washington,7.5,-130/110,UConn,2.5,
Western Kentucky,8.33,3.66,5.5,8.5,7.91,7.5,Washington State,5.5,105/-125,Rice,2.5,
Western Michigan,4.1,7.02,6,6.5,4.48,6.5,West Virginia,5.5,-110/-110,San Jose State,2.5,
Wisconsin,8,10.08,9.5,8.5,11.02,9.5,Western Kentucky,8.5,120/-140,South Alabama,2.5,
Wyoming,5.2,8.55,8.5,5,5.49,6,Western Michigan,6.5,125/-145,UTSA,2.5,
Oklahoma State,7.96,8.13,7.5,8.5,8.89,8,Wisconsin,8.5,-145/125,Oregon State,2,
,,,,,,,Wyoming,5,105/-125,,,
